IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.219.197.156,443,443,true,SIN,Asia Pacific,SG,Singapore,321,2.83
8.219.215.68,443,443,true,SIN,Asia Pacific,SG,Singapore,272,2.82
8.222.159.245,443,443,true,SIN,Asia Pacific,SG,Singapore,247,2.80
8.222.170.241,443,443,true,SIN,Asia Pacific,SG,Singapore,308,2.70
8.222.158.140,443,443,true,SIN,Asia Pacific,SG,Singapore,307,2.69
8.222.159.75,443,443,true,SIN,Asia Pacific,SG,Singapore,216,2.69
8.219.131.148,443,443,true,SIN,Asia Pacific,SG,Singapore,237,2.68
8.219.119.110,443,443,true,SIN,Asia Pacific,SG,Singapore,247,2.68
8.222.212.7,443,443,true,SIN,Asia Pacific,SG,Singapore,323,2.67
8.219.126.65,443,443,true,SIN,Asia Pacific,SG,Singapore,256,2.65
47.236.17.31,443,443,true,SIN,Asia Pacific,SG,Singapore,272,2.60
8.219.111.116,443,443,true,SIN,Asia Pacific,SG,Singapore,270,2.59
8.222.220.252,443,443,true,SIN,Asia Pacific,SG,Singapore,210,2.56
8.222.151.45,443,443,true,SIN,Asia Pacific,SG,Singapore,264,2.55
8.219.255.140,443,443,true,SIN,Asia Pacific,SG,Singapore,229,2.54
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,344,2.53
8.222.219.172,443,443,true,SIN,Asia Pacific,SG,Singapore,213,2.51
8.218.26.21,443,443,true,HKG,Asia Pacific,HK,Hong Kong,270,2.51
8.219.195.102,443,443,true,SIN,Asia Pacific,SG,Singapore,325,2.48
8.222.202.155,443,443,true,SIN,Asia Pacific,SG,Singapore,237,2.45
8.222.245.108,443,443,true,SIN,Asia Pacific,SG,Singapore,259,2.44
8.219.161.33,443,443,true,SIN,Asia Pacific,SG,Singapore,338,2.43
8.222.243.176,443,443,true,SIN,Asia Pacific,SG,Singapore,230,2.43
8.219.197.239,443,443,true,SIN,Asia Pacific,SG,Singapore,333,2.42
8.222.220.122,443,443,true,SIN,Asia Pacific,SG,Singapore,238,2.39
8.222.195.21,443,443,true,SIN,Asia Pacific,SG,Singapore,265,2.37
8.222.211.86,443,443,true,SIN,Asia Pacific,SG,Singapore,332,2.37
8.222.166.34,443,443,true,SIN,Asia Pacific,SG,Singapore,246,2.36
8.222.159.228,443,443,true,SIN,Asia Pacific,SG,Singapore,232,2.35
8.219.195.102,443,443,true,SIN,Asia Pacific,SG,Singapore,255,2.33
8.222.223.35,443,443,true,SIN,Asia Pacific,SG,Singapore,98,2.31
8.222.236.187,443,443,true,SIN,Asia Pacific,SG,Singapore,287,2.30
8.219.161.230,443,443,true,SIN,Asia Pacific,SG,Singapore,274,2.30
8.219.97.13,443,443,true,SIN,Asia Pacific,SG,Singapore,214,2.28
8.219.199.69,443,443,true,SIN,Asia Pacific,SG,Singapore,218,2.27
8.219.132.121,443,443,true,SIN,Asia Pacific,SG,Singapore,265,2.26
8.219.238.61,443,443,true,SIN,Asia Pacific,SG,Singapore,358,2.25
8.222.165.156,443,443,true,SIN,Asia Pacific,SG,Singapore,233,2.25
8.219.94.136,443,443,true,SIN,Asia Pacific,SG,Singapore,322,2.20
8.222.192.143,443,443,true,SIN,Asia Pacific,SG,Singapore,205,2.18
8.219.117.228,443,443,true,SIN,Asia Pacific,SG,Singapore,291,2.14
8.222.223.35,443,443,true,SIN,Asia Pacific,SG,Singapore,241,2.13
8.219.181.97,443,443,true,SIN,Asia Pacific,SG,Singapore,214,2.12
8.222.243.176,443,443,true,SIN,Asia Pacific,SG,Singapore,211,2.11
8.222.129.141,443,443,true,SIN,Asia Pacific,SG,Singapore,241,2.10
8.222.159.228,443,443,true,SIN,Asia Pacific,SG,Singapore,272,2.09
8.222.217.238,443,443,true,SIN,Asia Pacific,SG,Singapore,264,2.07
8.222.192.143,443,443,true,SIN,Asia Pacific,SG,Singapore,293,2.01
8.222.211.86,443,443,true,SIN,Asia Pacific,SG,Singapore,261,2.00
8.222.195.21,443,443,true,SIN,Asia Pacific,SG,Singapore,291,1.99
8.222.232.214,443,443,true,SIN,Asia Pacific,SG,Singapore,263,1.99
8.219.205.142,443,443,true,SIN,Asia Pacific,SG,Singapore,276,1.99
8.219.124.165,443,443,true,SIN,Asia Pacific,SG,Singapore,248,1.93
8.222.179.159,443,443,true,SIN,Asia Pacific,SG,Singapore,231,1.93
8.222.179.159,443,443,true,SIN,Asia Pacific,SG,Singapore,81,1.93
8.222.165.156,443,443,true,SIN,Asia Pacific,SG,Singapore,203,1.90
8.219.111.116,443,443,true,SIN,Asia Pacific,SG,Singapore,223,1.89
8.222.179.66,443,443,true,SIN,Asia Pacific,SG,Singapore,236,1.88
8.219.61.14,443,443,true,SIN,Asia Pacific,SG,Singapore,218,1.88
8.219.124.165,443,443,true,SIN,Asia Pacific,SG,Singapore,285,1.85
8.222.213.187,443,443,true,SIN,Asia Pacific,SG,Singapore,270,1.83
8.219.223.40,443,443,true,SIN,Asia Pacific,SG,Singapore,190,1.80
8.219.120.126,443,443,true,SIN,Asia Pacific,SG,Singapore,312,1.79
8.222.174.190,443,443,true,SIN,Asia Pacific,SG,Singapore,272,1.79
8.222.234.247,443,443,true,SIN,Asia Pacific,SG,Singapore,281,1.77
8.219.178.4,443,443,true,SIN,Asia Pacific,SG,Singapore,213,1.73
8.222.232.214,443,443,true,SIN,Asia Pacific,SG,Singapore,245,1.72
8.219.197.239,443,443,true,SIN,Asia Pacific,SG,Singapore,270,1.72
8.219.71.38,443,443,true,SIN,Asia Pacific,SG,Singapore,227,1.70
8.219.218.112,443,443,true,SIN,Asia Pacific,SG,Singapore,262,1.70
8.222.220.252,443,443,true,SIN,Asia Pacific,SG,Singapore,373,1.64
8.219.185.100,443,443,true,SIN,Asia Pacific,SG,Singapore,268,1.61
8.222.234.247,443,443,true,SIN,Asia Pacific,SG,Singapore,257,1.61
8.222.222.126,443,443,true,SIN,Asia Pacific,SG,Singapore,244,1.60
8.219.126.230,443,443,true,SIN,Asia Pacific,SG,Singapore,305,1.58
8.222.220.162,443,443,true,SIN,Asia Pacific,SG,Singapore,210,1.58
8.222.202.155,443,443,true,SIN,Asia Pacific,SG,Singapore,237,1.55
8.219.221.232,443,443,true,SIN,Asia Pacific,SG,Singapore,270,1.54
8.219.126.230,443,443,true,SIN,Asia Pacific,SG,Singapore,357,1.52
8.222.231.206,443,443,true,SIN,Asia Pacific,SG,Singapore,245,1.51
8.222.140.121,443,443,true,SIN,Asia Pacific,SG,Singapore,225,1.46
8.219.218.184,443,443,true,SIN,Asia Pacific,SG,Singapore,330,1.44
8.222.129.88,443,443,true,SIN,Asia Pacific,SG,Singapore,260,1.38
8.219.215.60,443,443,true,SIN,Asia Pacific,SG,Singapore,267,1.35
8.222.162.45,443,443,true,SIN,Asia Pacific,SG,Singapore,228,1.31
8.222.219.228,443,443,true,SIN,Asia Pacific,SG,Singapore,258,1.23
8.219.83.34,443,443,true,SIN,Asia Pacific,SG,Singapore,261,1.22
8.219.76.138,443,443,true,SIN,Asia Pacific,SG,Singapore,274,1.20
8.219.161.33,443,443,true,SIN,Asia Pacific,SG,Singapore,213,1.20
8.222.131.72,443,443,true,SIN,Asia Pacific,SG,Singapore,294,1.17
8.222.140.121,443,443,true,SIN,Asia Pacific,SG,Singapore,225,1.15
8.222.134.159,443,443,true,NRT,Asia Pacific,JP,Tokyo,294,1.11
8.219.153.246,443,443,true,SIN,Asia Pacific,SG,Singapore,352,1.09
8.219.205.185,443,443,true,SIN,Asia Pacific,SG,Singapore,290,1.08
8.219.240.4,443,443,true,SIN,Asia Pacific,SG,Singapore,249,1.03
8.222.219.228,443,443,true,SIN,Asia Pacific,SG,Singapore,267,0.99
8.222.174.190,443,443,true,SIN,Asia Pacific,SG,Singapore,233,0.96
8.222.176.205,443,443,true,SIN,Asia Pacific,SG,Singapore,248,0.96
8.219.142.205,443,443,true,SIN,Asia Pacific,SG,Singapore,257,0.95
8.222.220.162,443,443,true,SIN,Asia Pacific,SG,Singapore,216,0.94
8.222.246.23,443,443,true,SIN,Asia Pacific,SG,Singapore,250,0.93
8.219.101.207,443,443,true,SIN,Asia Pacific,SG,Singapore,224,0.92
47.57.13.107,443,443,true,HKG,Asia Pacific,HK,Hong Kong,273,0.92
8.219.110.27,443,443,true,SIN,Asia Pacific,SG,Singapore,268,0.88
8.219.255.140,443,443,true,SIN,Asia Pacific,SG,Singapore,224,0.85
8.222.129.88,443,443,true,SIN,Asia Pacific,SG,Singapore,212,0.83
